ID,IS_pre,IV_pre,RA_pre,Amplitude_pre,cluster,PC1,PC2
79,0.409,0.705,0.759,5.558,1,1.3342980961264839,-1.6727878796734221
80,0.717,0.818,0.808,3.894,1,1.7545654668633142,-0.5148995915193766
81,0.597,1.115,0.822,3.77,1,1.115311936479241,0.1983350145587016
82,0.553,0.843,0.605,4.326,1,0.8867200175003545,-0.9552657469492335
83,0.536,1.067,0.569,4.794,1,0.7801974266972446,-0.3786733826730176
84,0.46,1.413,0.542,3.945,1,-0.12811025678401805,0.6192718893898492
86,0.586,0.943,0.873,6.706,1,2.502510650009658,-0.6469454056284721
87,0.482,1.051,0.421,4.335,1,0.08381099699139109,-0.5931210457860949
88,0.568,1.336,0.739,3.581,1,0.5967679083346731,0.7811892040715608
89,0.545,1.152,0.854,3.798,1,0.9940331742294675,0.23580995046590664
90,0.575,1.342,0.797,5.019,1,1.3308764926196555,0.6943517230909515
91,0.477,1.766,0.838,2.359,1,-0.2875003551861457,2.150276086810417
92,0.752,1.426,0.699,3.146,1,0.9018140571317818,1.4245358793875817
93,0.565,1.646,0.889,2.204,1,0.15230129137498746,2.004303559423532
94,0.653,1.062,0.685,3.822,1,1.0560890884301308,0.02815972858423288
95,0.444,1.071,0.509,1.378,0,-1.0601644584986998,-0.19795681423403916
96,0.473,0.941,0.772,3.069,1,0.4114577330867292,-0.5311938480429496
97,0.739,0.861,0.734,5.195,1,2.160098049565706,-0.5467069319478405
98,0.663,0.861,0.902,7.053,1,3.0315091502806313,-0.7709596055833899
99,0.772,0.912,0.883,3.963,1,2.076662620249378,-0.07076047633297175
100,0.772,0.912,0.883,3.963,1,2.076662620249378,-0.07076047633297175
