"ID","Sex","Age.at.Start..Month.","Age.Group","Light.Group","PRE.POST","Amplitude","Period","Phase","Mean","X..Variance","MESOR","F","p","RA","IV","IS","Group","Group_Age_Light","Group_Age_Sex","Age_new","Group_Sex_Light","Sex_new","Light_new"
"27","M  ","11","Middle-age","CNT","POST",2.487,24,20.5,1.821,5.426,1.821,289.279,0,0.852,1.105,0.582,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"27","M  ","11","Middle-age","CNT","PRE",2.487,24,20.5,1.821,5.426,1.821,289.279,0,0.852,1.105,0.582,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"28","M  ","22","Old-age","ISF","POST",4.41,24,2.5,5.171,11.52,5.171,1039.396,0,0.39,1.032,0.391,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"28","M  ","22","Old-age","ISF","PRE",4.724,24,20.5,3.541,15.674,3.541,1385.768,0,0.627,0.869,0.599,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"29","M  ","21","Old-age","ISF","POST",2.629,24,20.5,1.91,9.124,1.91,700.886,0,0.613,1.141,0.477,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"29","M  ","21","Old-age","ISF","PRE",3.287,24,16.75,2.184,13.217,2.184,786.713,0,0.692,1.138,0.709,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"30","F  ","11","Middle-age","ISF","POST",2.633,24,51.75,2.36,6.295,2.36,370.334,0,0.575,1.458,0.423,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"30","F  ","11","Middle-age","ISF","PRE",4.097,24,12.5,4.604,8.594,4.604,389.384,0,0.497,1.398,0.51,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"31","M  ","24","Old-age","CNT","POST",1.306,24,41.25,1.626,2.814,1.626,206.319,0,0.448,1.31,0.395,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"31","M  ","24","Old-age","CNT","PRE",2.675,24,1.75,1.989,9.128,1.989,583.067,0,0.606,1.095,0.415,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"32","M  ","10","Middle-age","CNT","POST",0.724,24,355.25,0.809,2.43,0.809,143.604,0,0.636,1.398,0.412,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"32","M  ","10","Middle-age","CNT","PRE",1.756,24,337,1.193,6.907,1.193,504.515,0,0.785,1.463,0.496,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"33","M  ","23","Old-age","CNT","POST",1.619,24,11.5,1.599,4.26,1.599,266.661,0,0.64,1.062,0.433,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"33","M  ","23","Old-age","CNT","PRE",1.799,24,9.75,2.623,3.648,2.623,267.169,0,0.398,1.402,0.553,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"34","F  ","11","Middle-age","CNT","POST",2.179,24,22,2.965,4.105,2.965,268.566,0,0.428,1.303,0.485,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"34","F  ","11","Middle-age","CNT","PRE",5.145,24,358.25,3.37,18.336,3.37,1324.98,0,0.653,0.878,0.506,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"35","F  ","10","Middle-age","ISF","POST",2.625,24,31,2.412,7.752,2.412,562.28,0,0.567,1.241,0.463,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"35","F  ","10","Middle-age","ISF","PRE",4.212,24,2.75,2.96,18.247,2.96,1505.419,0,0.624,1.151,0.555,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"36","F  ","11","Middle-age","CNT","POST",3.628,24,32.75,3.837,8.571,3.837,660.84,0,0.453,1.339,0.453,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"36","F  ","11","Middle-age","CNT","PRE",5.291,24,30,3.213,17.096,3.213,1544.834,0,0.786,1.221,0.601,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"37","F  ","10","Middle-age","CNT","POST",0.342,24,217.5,13.558,0.053,13.558,5.995,0.003,0.026,1.178,0.056,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"37","F  ","10","Middle-age","CNT","PRE",0.65,24,324,13.646,0.295,13.646,25.364,0,0.038,1.753,0.108,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"39","F  ","11","Middle-age","ISF","POST",3.821,24,25.25,3.473,13.656,3.473,1105.639,0,0.477,1.025,0.581,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"39","F  ","11","Middle-age","ISF","PRE",3.172,24,7.75,3.508,9.269,3.508,701.026,0,0.517,1.329,0.553,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"40","M  ","24","Old-age","CNT","POST",2.734,24,356.5,2.793,7.019,2.793,481.995,0,0.506,1.538,0.459,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"40","M  ","24","Old-age","CNT","PRE",2.494,24,358.75,2.816,6.132,2.816,418.43,0,0.447,1.401,0.334,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"41","F  ","13","Middle-age","CNT","POST",3.697,24,29.25,2.471,14.492,2.471,1164.349,0,0.735,1.063,0.664,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"41","F  ","13","Middle-age","CNT","PRE",3.932,24,36.75,2.904,15.827,2.904,1301.324,0,0.668,1.186,0.614,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"42","F  ","13","Middle-age","CNT","POST",4.722,24,28.25,3.342,13.288,3.342,1014.533,0,0.669,1,0.563,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"42","F  ","13","Middle-age","CNT","PRE",4.998,24,37.75,3.365,14.258,3.365,1200.304,0,0.826,1.138,0.625,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"43","M  ","13","Middle-age","ISF","POST",3.129,24,38,2.326,14.561,2.326,1001.41,0,0.601,0.775,0.469,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
