ID,PRE_POST,Mean,Variance,MESOR,Amplitude,Phase,Period,F,p,IS,IV,RA,source,sensor_flag,pct_zero,longest_zero_run_hours
25,POST,2.9989221871713982,5.668932924600861,2.9829420997543927,2.003059947896225,339.3835013701638,24.0,173.13474121565233,1.1474651013374393e-60,0.5956759487778093,1.004516147176909,0.6244033039020223,#25 IR.csv,False,3.63,4.0
26,PRE,14.326246719160105,6.202696294907581,14.346530536367617,0.5558076354945309,265.3117890064185,24.0,1.5997364135672179,0.20608917143695257,0.16324207187444364,1.6036717318418212,0.04769713723469002,#26 IR.csv,False,0.0,0.0
26,POST,15.012250262881178,2.014400334671688,15.012632974085632,0.07737130903213074,47.57309077109219,24.0,0.4692933284047054,0.6256622145876349,0.0315839519756682,1.7588539898278948,0.01039012294835815,#26 IR.csv,False,0.0,0.0
27,PRE,1.9708661417322832,3.891450478412421,1.9385608627507798,1.0258590980381737,356.14689933697906,24.0,9.716396020160309,0.00012020995397409876,0.6336146280030722,1.111530365093627,0.7490262132856093,#27 IR.csv,False,15.75,5.0
27,POST,3.0046529968454254,4.735127077924128,2.9940386581868546,1.5357158144224385,346.19090267598875,24.0,104.70576382119735,5.3955605986878144e-40,0.5446623718683562,0.8447247395537764,0.5196328169822146,#27 IR.csv,False,5.21,4.0
28,PRE,3.461279461279461,6.3430320661570665,3.451580984352574,2.2014320974785417,340.6528229483064,24.0,90.10006035139227,3.0247781212645765e-31,0.5419076467758706,0.8751216368764445,0.5855297372636311,#28 IR.csv,False,8.75,4.0
28,POST,5.586850802644004,6.984904473532058,5.577993868780943,1.659801251963155,351.8974417190352,24.0,86.35068131637176,2.9285576949215263e-34,0.25252302829400775,1.1789827347345374,0.2555235603472325,#28 IR.csv,False,7.65,4.0
29,PRE,2.121117424242424,3.1341753156565666,2.093260218053999,1.5850760449692949,350.28755653257844,24.0,57.31350134403308,7.984040145639737e-20,0.7178965314519553,1.1508530754104858,0.7017238474928406,#29 IR.csv,False,5.11,2.0
29,POST,2.590745986779981,4.009346865882217,2.5815598467676284,1.6211345455110637,349.7757996548645,24.0,171.42108793243625,2.303798098692559e-61,0.41475541414720984,0.787713025562933,0.5099664151437172,#29 IR.csv,False,3.82,2.0
30,PRE,4.6295061728395055,9.340240218659787,4.525888364620393,2.06139090352004,358.4791581326899,24.0,19.0653774377312,5.323689851992503e-08,0.5142332661370014,1.435621697059002,0.5109092383810523,#30 IR.csv,False,1.48,1.0
30,POST,2.7430748840291583,6.5671470556915255,2.7406468698263216,1.7340006144256126,344.7746261780467,24.0,74.41534568300807,5.124539550821821e-29,0.4754283491907115,1.2996067568138454,0.5755164733891408,#30 IR.csv,False,5.37,3.0
31,PRE,1.6632996632996633,3.6135903517153514,1.64354970039738,1.2300151657805942,12.356651830813467,24.0,39.01962416360867,9.343511143483878e-16,0.29443640123835224,0.8069686978802676,0.6713577973606903,#31 redo.csv,True,23.23,27.0
31,POST,1.885576015108593,1.9977621027241454,1.8782130521214924,0.8543251546068014,327.19235835898536,24.0,78.77492508366595,1.3521380423070716e-31,0.3810215001508993,1.2385069562763344,0.45953378313561233,#31 redo.csv,False,1.84,2.0
32,PRE,1.3157687991021325,2.1500911580772692,1.3027070120854585,0.9652879920695994,4.595961229600052,24.0,40.64983307893874,2.5909879361988847e-16,0.49245566571379434,1.278032494835092,0.7516576250753475,#32 IR.csv,False,14.48,3.0
32,POST,1.0360481586402266,1.5117510905064546,1.0317954273180776,0.5176541566457815,330.8932394219193,24.0,34.25372454048583,6.378863190725907e-15,0.47724567118844374,1.3055540688421228,0.5860735009671181,#32 IR.csv,False,13.6,3.0
33,PRE,2.4837662337662336,3.7407920823138214,2.493779106516026,0.9374138192841679,354.59857264293015,24.0,15.397560551361254,5.340463037906962e-07,0.5059443412689064,1.284688206197197,0.38930438279051055,#33 IR.csv,False,1.3,2.0
33,POST,1.4778564683663835,2.745802900724846,1.472903591497529,0.8647604994850467,349.3787879504873,24.0,55.426335547886744,4.4458052804530057e-23,0.3815294330816825,1.0820750423795293,0.6096490336740703,#33 IR.csv,False,17.85,4.0
34,PRE,3.3302222222222224,9.824779464285715,3.282638913176219,2.5764334902526964,5.950380706628748,24.0,56.62722439397548,1.344637312757057e-20,0.5429645673507683,0.8775334499259427,0.6660335002590227,#34 IR.csv,False,0.89,1.0
34,POST,3.2820585457979226,7.3010874191049595,3.2753905389286544,1.230488794018704,351.36985002240095,24.0,40.66733936018431,1.9388692553755916e-17,0.35901024622273225,1.1427547201290593,0.36623184838789075,#34 IR.csv,False,1.56,2.0
35,PRE,2.934520780322307,4.987482996803472,2.91680916917712,1.9335323968686946,0.5710213823284298,24.0,116.71339335746582,1.8811955279538053e-40,0.4704463784255315,1.133541537024289,0.5446703306475997,#35 IR.csv,False,2.29,2.0
35,POST,2.490203021718602,3.9374259476914077,2.477341649511518,1.6318063525585589,333.7421819070694,24.0,180.02673705473026,7.424636357040909e-64,0.45624340771610067,1.0399090348152327,0.5732078015778206,#35 IR.csv,True,9.35,26.0
36,PRE,3.3124681933842237,9.737098966176804,3.300196719103291,2.574956113174587,345.34361843245404,24.0,100.13409268146403,7.997791054017431e-36,0.5365590203357188,1.1400350738231955,0.7194121782211362,#36 IR.csv,False,5.6,1.0
