outcome,outcome_label,metric1,metric2,interaction_beta,interaction_p,base_r2,interaction_r2,delta_r2,p_fdr
learning_slope,Barnes learning slope (T1-5),IS_pre,IV_pre,-0.09124092115319407,0.30392466819539665,0.01411225197955035,0.021198838689926558,0.007086586710376208,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),IS_pre,RA_pre,0.19779229055286413,0.2968038502951652,0.016187268376691488,0.02665577414787701,0.010468505771185521,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),IS_pre,Amplitude_pre,0.0251139659774341,0.4503716131261871,0.014315298001309151,0.02023852223316125,0.005923224231852098,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),IV_pre,RA_pre,-0.0041158132470288,0.9516283194325115,0.01638684430169035,0.016420442763365517,3.3598461675166114e-05,0.9516283194325115
learning_slope,Barnes learning slope (T1-5),IV_pre,Amplitude_pre,0.01026404556147508,0.6567783777574584,0.014695337222972005,0.01881984179382279,0.004124504570850784,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),RA_pre,Amplitude_pre,0.011599518363420982,0.7262538085376395,0.015550858065364714,0.01797083991947046,0.002419981854105746,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),IS_post,IV_post,0.0698302400338095,0.6291661395515996,0.021408312529987428,0.02511685165192379,0.0037085391219363606,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),IS_post,RA_post,-0.21970594874442442,0.3147688447600776,0.018788329534181192,0.033121757988342715,0.014333428454161523,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),IS_post,Amplitude_post,-0.03707147571776705,0.2746948604608538,0.019148198763105917,0.03777015223521796,0.01862195347211204,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),IV_post,RA_post,0.073036020761016,0.5397173429187294,0.02097137869470911,0.027021148036245224,0.006049769341536115,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),IV_post,Amplitude_post,0.00469713917739886,0.8526226667542807,0.020516503349044424,0.021511338247402145,0.0009948348983577215,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),RA_post,Amplitude_post,-0.03209261771251066,0.2387548521877635,0.018301084267356882,0.04084580616792832,0.02254472190057144,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),delta_IS,delta_IV,-0.05328009965420584,0.643771688505593,0.03822820483973832,0.04106116109231661,0.002832956252578289,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),delta_IS,delta_RA,-0.06540983830824007,0.8090683843974106,0.03864821827458609,0.03989631353718259,0.0012480952625965047,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),delta_IS,delta_Amplitude,-0.019924999150388187,0.8246573165348732,0.022808022952573115,0.02661746970968204,0.0038094467571089252,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),delta_IV,delta_RA,0.011829714804332741,0.8844145983976642,0.05404005354235286,0.05420116694891697,0.00016111340656410622,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),delta_IV,delta_Amplitude,0.01793932021932535,0.6661729965919074,0.025989112993372032,0.03346393887301702,0.007474825879644986,0.9364389865387033
learning_slope,Barnes learning slope (T1-5),delta_RA,delta_Amplitude,-0.02039974854298546,0.6560156272302189,0.03860739110765199,0.04514816090946794,0.006540769801815949,0.9364389865387033
nor_DI,NOR Discrimination Index,IS_pre,IV_pre,-0.1755510408422285,0.7170526409351057,0.21019455855331082,0.21206931728842826,0.0018747587351174433,0.9523575078828949
nor_DI,NOR Discrimination Index,IS_pre,RA_pre,-0.8342800463117385,0.43467879757130656,0.21100103915104818,0.2248157693264471,0.013814730175398915,0.9523575078828949
nor_DI,NOR Discrimination Index,IS_pre,Amplitude_pre,-0.10199467885639314,0.5413290286505403,0.21978476332394847,0.22653595018662043,0.006751186862671954,0.9523575078828949
nor_DI,NOR Discrimination Index,IV_pre,RA_pre,-0.31429643488512266,0.298634682909533,0.20385429931383803,0.21617154245334302,0.012317243139504996,0.9523575078828949
nor_DI,NOR Discrimination Index,IV_pre,Amplitude_pre,-0.050751298751720415,0.47077777862190684,0.22035672100056858,0.2278132852306214,0.007456564230052809,0.9523575078828949
nor_DI,NOR Discrimination Index,RA_pre,Amplitude_pre,-0.024636218027627665,0.801149510589359,0.22253412792789062,0.2232514352796452,0.0007173073517545703,0.9523575078828949
nor_DI,NOR Discrimination Index,IS_post,IV_post,0.06511760168329933,0.858266340106727,0.22357277498280526,0.22380472003268248,0.00023194504987722464,0.9523575078828949
nor_DI,NOR Discrimination Index,IS_post,RA_post,-0.07493001958304084,0.9064494062681796,0.21823379244186614,0.21835787410319574,0.0001240816613296003,0.9523575078828949
nor_DI,NOR Discrimination Index,IS_post,Amplitude_post,0.024453978602977995,0.837823180196096,0.24977014916067075,0.25043452278029454,0.0006643736196237926,0.9523575078828949
nor_DI,NOR Discrimination Index,IV_post,RA_post,0.021625255373708296,0.9523575078828949,0.21685273519139836,0.21688953990269078,3.680471129241525e-05,0.9523575078828949
nor_DI,NOR Discrimination Index,IV_post,Amplitude_post,-0.022125959050509538,0.6686851076603003,0.2903494135248489,0.2921242462965217,0.0017748327716727852,0.9523575078828949
nor_DI,NOR Discrimination Index,RA_post,Amplitude_post,0.048596945444954326,0.5528372224562116,0.25947754705687853,0.2633220175405202,0.003844470483641671,0.9523575078828949
nor_DI,NOR Discrimination Index,delta_IS,delta_IV,0.17291164197677572,0.7497199506114884,0.21173633820145887,0.2141703985326695,0.00243406033121063,0.9523575078828949
nor_DI,NOR Discrimination Index,delta_IS,delta_RA,-0.8481045076460221,0.20279939470174024,0.20554813996719257,0.2223822375869725,0.016834097619779942,0.9523575078828949
nor_DI,NOR Discrimination Index,delta_IS,delta_Amplitude,0.05721533459736234,0.7209825604311197,0.21547456666803366,0.2179716510220544,0.00249708435402074,0.9523575078828949
nor_DI,NOR Discrimination Index,delta_IV,delta_RA,-0.03368100303010707,0.9227009596266934,0.21332483488330722,0.21341586423115444,9.102934784721572e-05,0.9523575078828949
nor_DI,NOR Discrimination Index,delta_IV,delta_Amplitude,0.030902929553257547,0.4851514657874523,0.21528309609155816,0.21706139583242479,0.001778299740866629,0.9523575078828949
nor_DI,NOR Discrimination Index,delta_RA,delta_Amplitude,0.037835398437570895,0.7664224787895649,0.21788673843277673,0.21967016692394614,0.0017834284911694143,0.9523575078828949
